Chr	Start	Stop	NFR_Length	Chr_Length
11	58	166	108	666438
11	462	579	117	666438
11	682	825	143	666438
11	1411	1526	115	666438
11	1626	1720	94	666438
11	2459	2630	171	666438
11	2748	2815	67	666438
11	2902	2977	75	666438
11	3090	3160	70	666438
11	3262	3338	76	666438
11	3919	3996	77	666438
11	4943	4995	52	666438
11	5252	5309	57	666438
11	5582	5668	86	666438
11	5774	6089	315	666438
11	6390	6459	69	666438
11	7399	7463	64	666438
11	7570	7662	92	666438
11	7744	7814	70	666438
11	7895	8034	139	666438
11	8355	8411	56	666438
11	8489	8564	75	666438
11	8679	8752	73	666438
11	8850	8955	105	666438
11	9042	9104	62	666438
11	11633	11697	64	666438
11	11985	12039	54	666438
11	12164	12214	50	666438
11	12327	12377	50	666438
11	12482	12572	90	666438
11	12696	12761	65	666438
11	12850	12928	78	666438
11	13179	13312	133	666438
11	13386	13450	64	666438
11	13697	13798	101	666438
11	14039	14119	80	666438
11	14226	14301	75	666438
11	14415	14521	106	666438
11	14790	14846	56	666438
11	15278	15336	58	666438
11	15744	15892	148	666438
11	16168	16227	59	666438
11	17152	17202	50	666438
11	17298	17358	60	666438
11	17976	18042	66	666438
11	18327	18407	80	666438
11	18489	18583	94	666438
11	18855	18914	59	666438
11	19225	19281	56	666438
11	21213	21304	91	666438
11	21425	21676	251	666438
11	21999	22080	81	666438
11	22183	22235	52	666438
11	22357	22409	52	666438
11	23201	23261	60	666438
11	23896	23958	62	666438
11	24191	24289	98	666438
11	24377	24470	93	666438
11	24880	25138	258	666438
11	26406	26591	185	666438
11	26675	26742	67	666438
11	30254	30329	75	666438
11	30435	30496	61	666438
11	30600	30654	54	666438
11	30760	30847	87	666438
11	30965	31069	104	666438
11	31608	31659	51	666438
11	31767	31926	159	666438
11	32311	32367	56	666438
11	34145	34331	186	666438
11	34438	34525	87	666438
11	36407	36591	184	666438
11	38244	38386	142	666438
11	38481	38640	159	666438
11	38929	39142	213	666438
11	42308	42472	164	666438
11	44933	45015	82	666438
11	45286	45371	85	666438
11	46417	46600	183	666438
11	46762	46814	52	666438
11	46998	47096	98	666438
11	48005	48145	140	666438
11	48576	48633	57	666438
11	49671	49724	53	666438
11	49837	50022	185	666438
11	50125	50189	64	666438
11	50578	50640	62	666438
11	52280	52372	92	666438
11	53139	53219	80	666438
11	53311	53395	84	666438
11	53493	53664	171	666438
11	54702	54762	60	666438
11	55719	55933	214	666438
11	56035	56092	57	666438
11	56226	56277	51	666438
11	56385	56466	81	666438
11	62261	62323	62	666438
11	62581	62633	52	666438
11	63064	63121	57	666438
11	63387	63451	64	666438
11	63539	63730	191	666438
11	63821	63897	76	666438
11	65609	65670	61	666438
11	65823	65883	60	666438
11	66298	66481	183	666438
11	67526	67595	69	666438
11	67699	67915	216	666438
11	67935	68203	268	666438
11	68402	68462	60	666438
11	68802	68927	125	666438
11	69056	69107	51	666438
11	69585	69729	144	666438
11	70291	70430	139	666438
11	70494	70715	221	666438
11	71221	71282	61	666438
11	72751	72808	57	666438
11	72887	72966	79	666438
11	73242	73299	57	666438
11	73585	73643	58	666438
11	73753	73803	50	666438
11	73927	74000	73	666438
11	74265	74337	72	666438
11	74522	74574	52	666438
11	74689	74826	137	666438
11	75282	75351	69	666438
11	75606	75784	178	666438
11	77034	77090	56	666438
11	77199	77284	85	666438
11	77393	77454	61	666438
11	78022	78073	51	666438
11	78670	78807	137	666438
11	78921	78987	66	666438
11	79234	79316	82	666438
11	79577	79636	59	666438
11	79914	80059	145	666438
11	80115	80176	61	666438
11	80599	80762	163	666438
11	80857	81011	154	666438
11	81114	81171	57	666438
11	82537	82592	55	666438
11	82688	82920	232	666438
11	83176	83226	50	666438
11	83630	83691	61	666438
11	83927	84026	99	666438
11	84456	84569	113	666438
11	84674	84728	54	666438
11	85020	85081	61	666438
11	85326	85412	86	666438
11	86249	86312	63	666438
11	86625	86676	51	666438
11	87928	87979	51	666438
11	88089	88162	73	666438
11	88270	88326	56	666438
11	88610	88710	100	666438
11	88788	88866	78	666438
11	88967	89098	131	666438
11	89150	89258	108	666438
11	89684	89746	62	666438
11	89828	89888	60	666438
11	91200	91306	106	666438
11	91596	91664	68	666438
11	91916	92085	169	666438
11	92194	92260	66	666438
11	92674	92814	140	666438
11	93347	93526	179	666438
11	93707	94020	313	666438
11	94082	94181	99	666438
11	94247	94326	79	666438
11	94403	94519	116	666438
11	96133	96189	56	666438
11	96299	96567	268	666438
11	96677	96737	60	666438
11	98349	98558	209	666438
11	98683	98738	55	666438
11	99619	99843	224	666438
11	99934	100395	461	666438
11	100450	100558	108	666438
11	106747	106819	72	666438
11	106898	107120	222	666438
11	107371	107437	66	666438
11	108620	108681	61	666438
11	108821	109266	445	666438
11	109637	109700	63	666438
11	109772	109845	73	666438
11	110141	110232	91	666438
11	110266	110360	94	666438
11	111455	111507	52	666438
11	111890	111954	64	666438
11	112379	112445	66	666438
11	112539	112744	205	666438
11	112842	112905	63	666438
11	113002	113071	69	666438
11	113166	113243	77	666438
11	113347	113402	55	666438
11	113503	113603	100	666438
11	113683	113775	92	666438
11	113872	113984	112	666438
11	114049	114139	90	666438
11	114241	114305	64	666438
11	114585	114648	63	666438
11	114913	115088	175	666438
11	115341	115481	140	666438
11	115569	115626	57	666438
11	117720	117778	58	666438
11	118337	118476	139	666438
11	118631	118740	109	666438
11	119189	119243	54	666438
11	120322	120393	71	666438
11	121522	121604	82	666438
11	121986	122060	74	666438
11	122156	122232	76	666438
11	122323	122474	151	666438
11	123240	123302	62	666438
11	124476	124530	54	666438
11	124847	124897	50	666438
11	125526	125743	217	666438
11	127070	127347	277	666438
11	127620	127683	63	666438
11	130221	130290	69	666438
11	130369	130568	199	666438
11	130643	130729	86	666438
11	130998	131066	68	666438
11	131113	131200	87	666438
11	132501	132551	50	666438
11	132824	132874	50	666438
11	133319	133374	55	666438
11	133473	133593	120	666438
11	133696	133756	60	666438
11	134153	134345	192	666438
11	134453	134540	87	666438
11	135898	136090	192	666438
11	136207	136267	60	666438
11	137120	137217	97	666438
11	137313	137380	67	666438
11	137442	137538	96	666438
11	137616	137762	146	666438
11	137845	137936	91	666438
11	138029	138079	50	666438
11	138211	138265	54	666438
11	140589	140642	53	666438
11	140736	141031	295	666438
11	141056	141111	55	666438
11	141129	141199	70	666438
11	141301	141374	73	666438
11	141498	141610	112	666438
11	142802	142942	140	666438
11	142994	143064	70	666438
11	143148	143264	116	666438
11	143307	143545	238	666438
11	143612	143662	50	666438
11	145561	145678	117	666438
11	145957	146018	61	666438
11	146697	146777	80	666438
11	146874	147217	343	666438
11	147289	147379	90	666438
11	147487	147563	76	666438
11	147976	148027	51	666438
11	148440	148536	96	666438
11	148627	148683	56	666438
11	148793	148851	58	666438
11	148939	149128	189	666438
